payee_name,n
"ALLMAN & ASSOCIATES ,",3
"ANEDOT ,",359
"ANGELA PAXTON CAMPAIGN ,",1
"ANTHEM MEDIA ,",1
"ARMIN MIZANI CAMPAIGN ,",3
"AXIOM STRATEGIES  ,",10
"BILL WAYBOURN FOR SHERIFF ,",1
"BILL ZEDLER CAMPAIGN ,",3
"BLAIN ,CHARLES",7
"BO FRENCH CAMPAIGN ,",5
"BOB HALL CAMPAIGN ,",4
"BRANDON CREIGHTON CAMPAIGN ,",1
"BRENT GRAVES CAMPAIGN ,",1
"BRENT LAWSON CAMPAIGN ,",2
"BRENT WEBSTER CAMPAIGN ,",1
"BRIAN BIRDWELL CAMPAIGN ,",1
"BRISCOE CAIN CAMPAIGN ,",7
"BRYAN HUGES CAMPAIGN ,",1
"BRYAN HUGHES CAMPAIGN ,",2
"BRYAN SLATON CAMPAIGN ,",7
"CAMPAIGN MARKETING STRATEGIES ,",3
"CHESHIRE ,CARY",1
"CHRIS FAILS CAMPAIGN ,",4
"CJ GRISHAM CAMPAIGN ,",2
"COLE HEFNER CAMPAIGN ,",5
"COLLIN COUNTY REPUBLICAN PARTY ,",1
"DALLAS COUNTY REPUBLICAN PARTY ,",1
"DALLAS MARRIOTT LAS COLINAS ,",2
"DAMON RAMBO CAMPAIGN ,",2
"DAN MORENOFF CAMPAIGN ,",3
"DAN PATRICK CAMPAIGN ,",1
"DANNY WARD CAMPAIGN ,",1
"DAVID PALMER CAMPAIGN ,",1
"DAVID SIMPSON CAMPAIGN ,",1
"DAVID WATTS CAMPAIGN ,",3
"DEANNA METZGER CAMPAIGN ,",7
"DEPARTMENT OF TREASURY ,",2
"DIGDEV DIRECT ,",1
"DON HUFFINES CAMPAIGN ,",3
"DREW BRASSFIELD CAMPAIGN ,",2
"DUSTIN BURROWS CAMPAIGN ,",2
"EAST TEXANS FOR LIBERTY PAC ,",1
"EMILY COOK CAMPAIGN ,",2
"EMPOWER TEXANS ,",2
"EMPOWER TEXANS FOUNDATION ,",5
"FAR NORTH DALLAS TEA PARTY ,",1
"FED EX ,",3
"GARRETT BOERSMA CAMPAIGN ,",3
"GRAPHIC MANAGEMENT  ,",1
"HARRISON ,GREG",5
"JARED PATTERSON CAMPAIGN ,",3
"JASON HUDDLESTON CAMPAIGN ,",3
"JAY WILEY CAMPAIGN ,",6
"JEFF LEACH CAMPAIGN ,",2
"JESS FIELDS CAMPAIGN ,",4
"JILL WOLFSKILL CAMPAIGN ,",2
"JIM LANDTROOP CAMPAIGN ,",2
"JIM PIKL CAMPAIGN ,",4
"JOHN KEATING CAMPAIGN ,",2
"JONATHAN BOOS CAMPAIGN ,",6
"JONATHAN SITCKLAND CAMPAIGN ,",5
"JONATHAN STICKLAND CAMPAIGN ,",5
"JOSH CRAWFORD ,",1
"JOSH CRAWFORD CAMPAIGN ,",1
"KEITH STRAHAN CAMPAIGN ,",5
"KEVIN FULTON CAMPAIGN ,",2
